field,substantive_field,pmcid,doi,year,title,frequency,n,n_derived,lag_min,lag_max,direction,K,L,full_count,L_over_n,full_over_n,class_L,class_full,sig_claim,test_used,corrected,uncorrected_claim,quote_n,quote_lag,notes
EPI,epi,PMC13266879,10.21037/jtd-2025-1-2454,2026,"Monitoring pneumonia onset and severe respiratory infectious diseases using quantitative computed tomography, validation amidst the coronavirus disease 2019 outbreak at the end of 2022 in the Chinese mainland.",weekly,52,y,-3,3,symmetric,3,3,7,0.0577,0.1346,a,a,y,P<0.001 on peak lag,n,y,"between week 27, 2022 (July 4, 2022) and week 26, 2023 (July 2, 2023)",Table 5 ... -3 weeks -2 weeks -1 week 0 week 1 week 2 weeks 3 weeks,
EPI,epi,PMC11219297,10.46234/ccdcw2024.084,2024,"Exploring the Lagged Correlation Between Baidu Index and Influenza-Like Illness - China, 2014-2019.",daily (spline-interpolated from weekly),1826,y,-14,14,symmetric,14,14,29,0.0077,0.0159,c,c,y,"""significant"" (test not stated)",n,y,spanning from April 2014 to March 2019 ... a cubic spline function was employed to interpolate weekly ILI%,a maximum lag period of +/-14 days was determined.,Effective weekly n about 260 with +/-2 weeks: same ratio.
EPI,epi,PMC13582498,10.3389/fpubh.2026.1856514,2026,Fusing meteorological factors and baidu search index with an adapted deformtime model to predict influenza-like illness in Beijing.,weekly,313,y,-4,4,symmetric,4,4,9,0.0128,0.0288,c,b,y,seasonal differencing + two-stage BH-FDR,y,n,CCF analysis was conducted exclusively on the training set (2010-2016),CCF were computed over a lag range of -4 to +4 weeks.,n = 365 weeks minus 52 (seasonal differencing).
EPI,epi,PMC11121319,10.3390/ijerph21050558,2024,The Impact of Climatic Factors on Temporal Mosquito Distribution and Population Dynamics in an Area Targeted for Sterile Insect Technique Pilot Trials.,monthly,72,y,-3,3,symmetric,3,3,7,0.0417,0.0972,b,a,y,"""maximum significant positive correlations""; no prewhitening stated",n,y,mosquito density and climatic time series from 2014 to 2019,The climatic variables were lagged at 0 to 3 months before and after to determine the maximum significant positive correlations.,
CLIM,hydro,PMC12639167,10.1038/s41598-025-25396-4,2025,Integrated use of meteorological and hydrological indices for drought early warning in the mountainous catchments of the Himalaya-Karakorum-Hindukush region.,monthly (per calendar month across years),58,y,1,5,one-sided,5,5,5,0.0862,0.0862,a,a,n,none,na,n,historical streamflow data from January 1961 to December 2018 ... monthly cross-correlations are investigated to incorporate seasonality,Fig. 10 Heatmaps of lagged (1-5 months) monthly cross-correlations between SSI-3 and SPEI,UNCERTAIN n: read as one value per year per calendar month (n=58). If computed on the full monthly series (n=696) the class would be (c).
CLIM,atmos,PMC12340766,10.1021/acsestair.5c00126,2025,Effect of Long-Range Transported Aerosol on Urban Air Quality in Eastern Germany.,hourly (assumed; 30-min ACSM),192,y,-20,20,symmetric,20,20,41,0.1042,0.2135,a,a,n,none,na,n,Eastern-wind-period (7-14 February 2017),The analysis was performed using time lags from -20 to +20 h,L/n invariant to resolution: 20 h / 192 h.
CLIM,eco,PMC8145696,10.3390/e23050559,2021,The Vegetation-Climate System Complexity through Recurrence Analysis.,8-day composite,782,y,0,6,one-sided (assumed),6,6,7,0.0077,0.009,c,c,n,none,na,n,Study plots reflectance was monitored from 2002 to 2018 ... best pixel observation was chosen within eight days,The maximum number of lags to be analysed was six,n = 17 years x 46 composites.
CLIM,epi (leptospirosis),PMC7822256,10.1371/journal.pone.0245366,2021,"The interrelationship between meteorological parameters and leptospirosis incidence in Hambantota district, Sri Lanka 2008-2017 and practical implications.",weekly,522,y,-12,12,"symmetric (assumed, SPSS CCF)",12,12,25,0.023,0.0479,c,b,y,SPSS CCF significance bounds,n,y,We calculated weekly leptospirosis incidences for 2008 to 2017,We selected a 12-weeks limit,"UNCERTAIN n: CCF may have been run on aggregated 52-week climatology (then n=52, class a). Favourable reading used."
CLIM,epi (COVID-19),PMC8586838,10.1007/s11356-021-17268-x,2022,Effect of meteorological factors on the COVID-19 cases: a case study related to three major cities of the Kingdom of Saudi Arabia.,daily,136,y,0,3,one-sided,3,3,4,0.0221,0.0294,c,b,y,"""significant lagged variables""; no prewhitening",n,y,"from March 2 to July 15, 2020",Table 3 Cross-correlation coefficients ... Lag (days) 0 1 2 3,
FISH,marine eco,PMC12894980,10.1038/s41598-026-36897-1,2026,Climate-driven reproductive decline in Southern right whales.,annual,29,y,-10,0,one-sided,10,10,11,0.3448,0.3793,a,a,y,"approx. 95% bounds, no prewhitening",n,y,only data from 1996 to 2024 were analysed,The cross-correlation function (CCF) was used to examine lags from -10 to 0 years,
FISH,fisheries,PMC7364117,10.1016/j.dib.2020.106006,2020,"Airfreight data from Memanbetsu airport correlated to fish and scallop catch in okhotsk subprefecture, Hokkaido, Japan.",monthly,120,y,-17,17,symmetric,17,17,35,0.1417,0.2917,a,a,unclear,per-lag p<0.05 marks in figure,n,n,Data were gathered from 2009 to 2018.,a cross-correlation analysis with time-lagged series (-17 to +17) using the ccf command on R was performed,
